houseNumber,street,town,city,postcode,firstName,lastName,carRegistration,carMake,carModel,carEngineSize
293,Meadow Ridge,Taksimo,Zhukovskiy,671560,Felicia,Duffin,1FTSF3B53AE485186,Dodge,Viper,71.5
02583,Superior,Santa Catarina,Makueni,2500-772,Karly,Minards,JTMHY7AJ9F4902756,Chrysler,PT Cruiser,54.9
11,Beilfuss,Hukou,Ban Mai,FFF,Yehudit,Pesak,2G4GZ5GVXB9368130,Pontiac,Vibe,5.6
427,Ridge Oak,Avon,Praia,77214 CEDEX,Fernandina,Briffett,5FRYD4H25FB507960,Jeep,Wrangler,91.8
4,Melrose,Saraqinishtë,Doro Oo,FFF,Dedra,Juszczak,JHMFA3F29BS570988,Mercury,Cougar,18.3
6317,Dapin,Vân Đình,Mangdang,FFF,Madalena,Blatherwick,WAUNF98P77A977230,Scion,xB,77.5
4,Melby,Praia da Vagueira,Bergville,3840-272,Brewer,Mewton,1G6AR5SX1F0064481,Porsche,Cayman,1.8
68273,Heffernan,Xingdian,Paris 05,FFF,Ivette,Meak,WAUMGBFL9CA158794,Mercedes-Benz,G-Class,61.5
523,Prairieview,Älvängen,Ape,446 38,Marsha,Howling,WP0CB2A86FS192979,Ford,F-Series,89.3
042,Starling,Linshe,Anhai,FFF,Hobey,Gapp,WA1WMBFE9CD180499,Mitsubishi,Truck,33.0
9152,Corben,Balaoang,Kosai-shi,2509,Adan,Magister,3D4PH9FGXBT376567,Audi,S4,16.4
14789,Jana,Dagang,Skuodas,FFF,Laryssa,Trembley,WAUAGAFDXDN762886,Mitsubishi,Eclipse,85.6
05439,Briar Crest,Songying,Montgomery,FFF,Witty,Klageman,19UUA56683A852975,Lexus,RX Hybrid,33.1
18236,Lake View,Casma,El Dividive,FFF,Calida,Benardet,YV126MFB0F2137499,BMW,7 Series,77.1
35053,Redwing,Strasbourg,Spirit River,67039 CEDEX 2,Alyssa,Crier,WBA3F9C53EK996331,Chrysler,300M,11.9
0,Anthes,Moravský Beroun,São Paio Merelim,793 05,Florri,Brandes,3VWC17AU3FM517770,Subaru,Outback,12.3
813,Holy Cross,Yangambi,Tandahimba,FFF,Torey,O'Connolly,WAUML64B83N504503,Honda,Pilot,82.6
331,North,Basseterre,Joliet,FFF,Tresa,Andrioletti,1N6AF0KX2EN391124,Aptera,Type-1h,34.1
47,Farragut,Zhangatas,Jiukou,FFF,Charlotte,Stoacley,5GAKVDKD9DJ019083,Bentley,Azure,60.2
758,Montana,Marseille,Rentian,13456 CEDEX 13,Dalton,Carletti,WAUJT68E63A587914,Pontiac,Grand Am,42.0
4,Little Fleur,Calheta de Nesquim,Wanbu,9930-025,Modesty,Limb,WAUDL74F16N046834,Dodge,Ram Wagon B350,41.2
4363,American,Santa Lucía,Oslo,FFF,Gale,Glen,WAUAT48H05K137154,Nissan,Pathfinder,8.9
89,La Follette,Rovira,Rochester,733048,Janela,Fair,2G4WS52JX41700055,Saturn,S-Series,97.1
122,Mallory,Lipie,Ji’an,42-165,Christal,McKeefry,3N1CN7AP5DL247013,Jeep,Commander,9.6
98,Larry,Donim,Volodars’k-Volyns’kyy,4805-178,Madalyn,Lillywhite,1HGCR6F32EA168412,Ford,Fiesta,28.0
9,Warner,Baishuiyang,Costa Nova do Prado,FFF,Clovis,Sebyer,1FTEW1C89AF948100,GMC,Savana 1500,49.4
8264,Dawn,Bosobolo,Umi,FFF,Xaviera,Fellona,5UXFG8C54CL130456,Dodge,Dakota,41.1
17762,Farragut,Kletek,Nacaome,FFF,Reuben,Caghy,5FNRL5H24CB597077,Chrysler,Imperial,61.0
28134,Jackson,Mont-Dore,Bous,98810,Juliann,Booeln,2G4GR5EK8C9954092,Dodge,Viper,63.2
89,Fisk,Dadong,Tamatam,FFF,Frans,Geillier,2FMPK3K93FB010673,Ford,Focus,69.2
00,Roxbury,Sharga,18 de Marzo,D12,Alecia,Exrol,JN1AV7AP0FM194821,Chevrolet,Avalanche 1500,14.1
